Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX
actin,54,48,48,42,1.06,1.7404,0.57,1.6902,Noun,46,0.90,Noun.Name,46.5
acting,2675,1813,2533,1746,52.45,3.4275,21.61,3.2586,Verb,2324,0.87,Verb.Adjective.Noun,2324.190.160
actings,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
actinic,1,1,1,1,0.02,0.3010,0.01,0.3010,Adjective,1,1.00,Adjective,1
action,3115,1857,2748,1737,61.08,3.4936,22.14,3.2690,Noun,3098,1.00,Noun.Verb.Name,3098.7.2
actionable,13,7,13,7,0.25,1.1461,0.08,0.9031,Adjective,13,1.00,Adjective,13
actioner,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
actions,620,487,602,474,12.16,2.7931,5.81,2.6884,Noun,618,0.99,Noun.Verb,618.4
activate,238,160,159,120,4.67,2.3784,1.91,2.2068,Verb,238,1.00,Verb,238
activated,220,162,212,158,4.31,2.3444,1.93,2.2122,Verb,208,0.95,Verb.Adjective,208.12
activates,16,15,16,15,0.31,1.2304,0.18,1.2041,Verb,16,1.00,Verb,16
activating,44,38,28,24,0.86,1.6532,0.45,1.5911,Verb,41,0.93,Verb.Name.Adjective,41.2.1
activation,43,33,40,30,0.84,1.6435,0.39,1.5315,Noun,43,1.00,Noun,43
activator,4,4,3,3,0.08,0.6990,0.05,0.6990,Noun,4,1.00,Noun,4
active,584,464,554,445,11.45,2.7672,5.53,2.6675,Adjective,584,1.00,Adjective,584
actively,42,39,40,38,0.82,1.6335,0.46,1.6021,Adverb,42,1.00,Adverb,42
actives,1,1,1,1,0.02,0.3010,0.01,0.3010,Noun,1,1.00,Noun,1
activism,9,9,9,9,0.18,1.0000,0.11,1.0000,Noun,9,1.00,Noun,9
activist,50,40,47,37,0.98,1.7076,0.48,1.6128,Noun,50,1.00,Noun,50
activists,18,14,17,13,0.35,1.2788,0.17,1.1761,Noun,18,1.00,Noun,18
activities,439,353,431,347,8.61,2.6435,4.21,2.5490,Noun,438,1.00,Noun.Verb,438.1
activity,657,519,650,513,12.88,2.8182,6.19,2.7160,Noun,657,1.00,Noun,657
acton,12,4,0,0,0.24,1.1139,0.05,0.6990,Name,12,1.00,Name,12
actor,1343,574,1293,561,26.33,3.1284,6.84,2.7597,Noun,1336,1.00,Noun.Name,1336.1
