lemma,word_infos
maim,maim;maimed;VERB;unknown
sift,sift;sifting;VERB;unknown | sift;sifting;VERB;unknown
stoic,stoic;stoic;ADJ;unknown
tech,tech;tech;NOUN;unknown
blobby,blobby;blobby;ADJ;unknown
churn,churn;churn;VERB;unknown
jedi,jedi;Jedi;PROPN;unknown
juror,juror;jurors;NOUN;B2 | juror;jurors;NOUN;B2
lisa,lisa;Lisa;PROPN;unknown
wring,wring;wring;VERB;unknown
demise,demise;demise;NOUN;unknown
gasps,gasps;Gasps;PROPN;unknown
boston,boston;Boston;PROPN;unknown
culpable,culpable;culpable;ADJ;unknown
empower,empower;empowering;VERB;unknown
google,google;Google;PROPN;unknown
prewire,prewire;prewired;VERB;unknown | prewire;prewired;VERB;unknown
barrett,barrett;Barrett;PROPN;unknown
chechen,chechen;Chechen;PROPN;unknown
energized,energized;energized;ADJ;unknown
feldman,feldman;Feldman;PROPN;unknown
intrinsic,intrinsic;intrinsic;ADJ;unknown
stoically,stoically;stoically;ADV;unknown
boardroom,boardroom;boardroom;NOUN;unknown
chechnya,chechnya;Chechnya;PROPN;unknown
dehydrate,dehydrate;dehydrated;VERB;unknown
facebook,facebook;Facebook;PROPN;unknown
remorseless,remorseless;remorseless;ADJ;unknown
experiential,experiential;experiential;ADJ;unknown
wretchedness,wretchedness;wretchedness;NOUN;unknown | wretchedness;wretchedness;NOUN;unknown
transcriber,transcriber;Transcriber;PROPN;unknown
camille,camille;Camille;PROPN;unknown
margaret,margaret;Margaret;PROPN;unknown
gould,gould;Gould;PROPN;unknown
stewart,stewart;Stewart;PROPN;unknown
html,html;HTML;NOUN;unknown
vannevar,vannevar;Vannevar;PROPN;unknown
ted,ted;Ted;PROPN;unknown
nelson,nelson;Nelson;PROPN;unknown
xanadu,xanadu;Xanadu;PROPN;unknown
maryland,maryland;Maryland;PROPN;unknown
gray,gray;gray;ADJ;unknown
hypercard,hypercard;HyperCard;PROPN;unknown | hypercard;HyperCard;PROPN;unknown
nonlinear,nonlinear;nonlinear;ADJ;unknown
storytelling,storytelling;storytelling;NOUN;unknown
tim,tim;Tim;PROPN;unknown
berners,berners;Berners;PROPN;unknown
lee,lee;Lee;PROPN;unknown
lego,lego;LEGO;NOUN;unknown
millennial,millennial;millennials;NOUN;unknown | millennial;millennials;NOUN;unknown
harvard,harvard;Harvard;PROPN;unknown | harvard;Harvard;PROPN;unknown | harvard;Harvard;PROPN;unknown
tenement,tenement;tenements;NOUN;unknown
bricklayer,bricklayer;bricklayers;NOUN;unknown
states,states;States;PROPN;unknown
schizophrenia,schizophrenia;schizophrenia;NOUN;unknown
functioning,functioning;functioning;NOUN;unknown
americans,americans;Americans;PROPN;unknown
octogenarian,octogenarian;octogenarian;NOUN;unknown
octogenarian,octogenarian;octogenarian;ADJ;unknown
bicker,bicker;bicker;VERB;unknown
workmate,workmate;workmates;NOUN;unknown
liven,liven;livening;VERB;unknown
twain,twain;Twain;PROPN;unknown
nighter,nighter;nighters;NOUN;unknown | nighter;nighters;NOUN;unknown
non,non;non;NOUN;unknown | non;non;NOUN;unknown | non;non;NOUN;unknown | non;non;NOUN;unknown | non;non;NOUN;unknown
mri,mri;MRI;NOUN;unknown
wikipedia,wikipedia;Wikipedia;PROPN;unknown
nancy,nancy;Nancy;PROPN;unknown
tonya,tonya;Tonya;PROPN;unknown
harding,harding;Harding;PROPN;unknown
youtube,youtube;YouTube;PROPN;unknown
richard,richard;Richard;PROPN;unknown
feynman,feynman;Feynman;PROPN;unknown
justin,justin;Justin;PROPN;unknown
bieber,bieber;Bieber;PROPN;unknown
propagate,propagate;propagating;VERB;unknown
makes,makes;Makes;PROPN;unknown
unearned,unearned;unearned;ADJ;unknown
india,india;India;PROPN;unknown | india;India;PROPN;unknown
phd,phd;PhD;NOUN;unknown
